diseases,sintomas,texto
fracture of the neck,"['elbow pain', 'low back pain', 'leg pain', 'lower body pain', 'hip pain']","
    Fracture of the neck is a condition that may present symptoms such as elbow pain, low back pain, leg pain, lower body pain, hip pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the patella,"['knee swelling', 'bones are painful', 'knee pain', 'leg weakness', 'leg pain', 'hip pain']","
    Fracture of the patella is a condition that may present symptoms such as knee swelling, bones are painful, knee pain, leg weakness, leg pain, hip pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the pelvis,"['knee pain', 'difficulty speaking', 'groin pain', 'ache all over', 'leg pain', 'hip pain', 'back pain']","
    Fracture of the pelvis is a condition that may present symptoms such as knee pain, difficulty speaking, groin pain, ache all over, leg pain, hip pain, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the rib,"['bones are painful', 'back mass or lump', 'sharp chest pain', 'shortness of breath', 'ache all over', 'rib pain', 'hip pain', 'back pain', 'hurts to breath', 'side pain', 'shoulder pain']","
    Fracture of the rib is a condition that may present symptoms such as bones are painful, back mass or lump, sharp chest pain, shortness of breath, ache all over, rib pain, hip pain, back pain, hurts to breath, side pain, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the shoulder,"['neck swelling', 'bones are painful', 'shoulder stiffness or tightness', 'arm pain', 'arm stiffness or tightness', 'shoulder swelling', 'shoulder pain']","
    Fracture of the shoulder is a condition that may present symptoms such as neck swelling, bones are painful, shoulder stiffness or tightness, arm pain, arm stiffness or tightness, shoulder swelling, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the skull,"['depressive or psychotic symptoms', 'diminished hearing', 'drug abuse', 'headache', 'vomiting']","
    Fracture of the skull is a condition that may present symptoms such as depressive or psychotic symptoms, diminished hearing, drug abuse, headache, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fracture of the vertebra,"['bones are painful', 'pelvic pain', 'low back pain', 'neck pain', 'hand or finger stiffness or tightness', 'hip pain', 'back pain', 'leg stiffness or tightness']","
    Fracture of the vertebra is a condition that may present symptoms such as bones are painful, pelvic pain, low back pain, neck pain, hand or finger stiffness or tightness, hip pain, back pain, leg stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
friedrich ataxia,"['knee lump or mass', 'ear pain', 'cough']","
    Friedrich ataxia is a condition that may present symptoms such as knee lump or mass, ear pain, cough.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
frostbite,"['elbow weakness', 'foot or toe pain', 'sharp chest pain']","
    Frostbite is a condition that may present symptoms such as elbow weakness, foot or toe pain, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fungal infection of the hair,"['acne or pimples', 'pelvic pain', 'itching of skin', 'itchy scalp', 'skin growth', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin irritation', 'irregular appearing scalp', 'skin swelling', 'skin rash']","
    Fungal infection of the hair is a condition that may present symptoms such as acne or pimples, pelvic pain, itching of skin, itchy scalp, skin growth, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, skin irritation, irregular appearing scalp, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
fungal infection of the skin,"['acne or pimples', 'itching of skin', 'itchy scalp', 'too little hair', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'irregular appearing scalp', 'skin swelling', 'skin rash']","
    Fungal infection of the skin is a condition that may present symptoms such as acne or pimples, itching of skin, itchy scalp, too little hair, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, irregular appearing scalp, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
g6pd enzyme deficiency,"['emotional symptoms', 'cough']","
    G6pd enzyme deficiency is a condition that may present symptoms such as emotional symptoms, cough.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
